LIMIT_BAL,SEX,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,sum_all_bill,std_bill,sum_all_pay,bill_to_limit_ratio,pay_to_bill_ratio,avg_pay_delay,count_delays,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_2,MARRIAGE_3
300000.0,2,33.0,0,0,0,0,0,0,62951.0,4007.0,5000.0,5000.0,6000.0,6000.0,6000.0,392302.0,1659.622326514881,32007.0,1.3076733333333332,0.08158765440910319,0.0,0.0,True,False,False,False,False
80000.0,1,57.0,0,0,0,0,0,0,54211.0,2007.0,2047.0,2060.0,2133.0,2469.0,2493.0,342744.0,2245.2326382804968,13209.0,4.2843,0.0385389678593936,0.0,0.0,True,False,False,False,False
20000.0,1,24.0,3,2,0,0,-1,-1,18937.0,0.0,1251.0,656.0,13180.0,5200.0,0.0,93908.0,5613.706642376913,20287.0,4.6954,0.2160305831239085,0.5,2.0,True,False,False,True,False
490000.0,1,38.0,1,-2,-2,-1,0,0,380.0,380.0,380.0,15240.0,5000.0,5000.0,7396.0,60042.0,10904.099027430006,33396.0,0.12253469387755102,0.5562106525432198,-0.6666666666666666,1.0,False,False,False,False,False
50000.0,1,24.0,-1,-1,-1,-1,-1,0,390.0,390.0,390.0,390.0,780.0,0.0,390.0,2730.0,159.21683328090657,2340.0,0.0546,0.8571428571428571,-0.8333333333333334,0.0,True,False,False,True,False
70000.0,2,59.0,0,0,0,0,0,2,67088.0,2244.0,2301.0,2254.0,7600.0,2500.0,2422.0,396331.0,3479.008618366253,19321.0,5.661871428571429,0.048749656221693485,0.3333333333333333,1.0,True,False,False,False,False
110000.0,2,23.0,-1,0,0,0,0,0,37857.0,2000.0,3000.0,1500.0,71392.0,3000.0,3500.0,269212.0,23781.279954339436,72850.75,2.4473818181818183,0.3134778538846708,-0.16666666666666666,0.0,True,False,False,True,False
200000.0,2,27.0,1,2,2,2,3,4,104307.0,0.0,10000.0,5000.0,5000.0,7661.0,6608.0,678735.0,9772.581598533727,34269.0,3.393675,0.050489513580410615,1.0,2.5,False,True,False,False,False
50000.0,1,53.0,0,0,0,0,0,0,49466.0,2442.0,1669.0,330.0,1342.0,330.0,430.0,153755.0,19869.22319988043,6543.0,3.0751,0.0425547136678482,0.0,0.0,False,True,False,False,False
130000.0,1,40.0,2,0,0,0,0,0,88222.0,3515.0,3107.0,5003.0,3203.0,3456.0,4000.0,521522.0,1369.4702138661748,22284.0,4.011707692307692,0.04272878229489839,0.3333333333333333,1.0,False,True,False,False,True
100000.0,2,24.0,-1,-1,-2,-2,-1,-1,3587.0,660.0,6010.0,2789.0,2973.0,3611.0,11880.0,19630.0,1723.7182677765722,27923.0,0.1963,1.1996732887468293,-1.3333333333333333,0.0,True,False,False,True,False
70000.0,1,50.0,0,0,0,0,0,0,56551.0,1900.0,1630.0,890.0,1300.0,762.0,1000.0,208272.0,11647.591047079219,7482.0,2.9753142857142856,0.0359241760774372,0.0,0.0,False,False,False,True,False
80000.0,2,51.0,0,0,0,0,0,0,42731.0,1365.0,1500.0,1412.0,1500.0,1000.0,1100.0,166273.0,7459.560722097962,7877.0,2.0784125,0.047373897145056625,0.0,0.0,True,False,False,False,False
150000.0,2,42.0,0,0,0,0,-1,-1,30643.0,1237.0,1354.0,5153.0,924.0,0.0,0.0,119525.0,15197.174940319226,8668.0,0.7968333333333333,0.07252039322317506,-0.3333333333333333,0.0,False,True,False,True,False
70000.0,2,38.0,1,2,0,0,2,0,73688.0,0.0,2800.0,6500.0,0.0,2821.0,5500.0,428789.0,1793.2227320293114,17621.0,6.125557142857143,0.0410948042043989,0.8333333333333334,2.5,True,False,False,False,False
50000.0,2,30.0,-2,-2,-2,-2,-2,-2,0.0,2070.0,0.0,0.0,0.0,0.0,0.0,2070.0,845.0739612601965,2070.0,0.0414,1.0,-1.6666666666666665,0.0,False,False,False,True,False
90000.0,2,41.0,0,0,0,0,0,0,25388.0,1800.0,1747.0,1758.0,1152.0,1038.0,1073.0,162949.0,1183.1321847818472,8568.0,1.8105444444444445,0.05258086886080921,0.0,0.0,True,False,False,False,False
220000.0,1,39.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.0,False,False,False,False,False
20000.0,1,56.0,0,0,0,0,0,0,20180.0,1500.0,1300.0,2513.0,2000.0,2000.0,1000.0,148140.0,13951.693732303616,10313.0,7.407,0.06961657891184016,0.0,0.0,True,False,False,False,False
110000.0,2,39.0,0,0,0,0,0,0,210804.0,5426.0,4244.0,1837.0,1713.0,2100.0,2020.0,563971.0,33619.75624824876,17340.0,5.127009090909091,0.030746261775871454,0.0,0.0,True,False,False,True,False
450000.0,1,31.0,-1,-1,-1,-1,-2,-2,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,15000.0,2738.6127875258308,10000.0,0.03333333333333333,0.6666666666666666,-1.3333333333333333,0.0,False,False,False,True,False
50000.0,2,29.0,0,0,0,0,0,0,8838.0,6540.0,37130.0,2858.0,3000.0,1000.0,5000.0,131872.0,14162.598005544982,55528.0,2.63744,0.4210749818005339,0.0,0.0,False,False,False,True,False
80000.0,2,26.0,0,0,0,-1,0,0,27041.0,5879.0,1000.0,11360.0,486.0,478.0,0.0,81674.0,10974.421053826332,19203.0,1.020925,0.23511766290373926,-0.16666666666666666,0.0,True,False,False,True,False
20000.0,2,24.0,1,2,2,2,2,-2,4697.0,0.0,2266.0,38.0,0.0,0.0,0.0,20247.0,2728.9393360791296,2304.0,1.01235,0.11379463624240628,1.0,2.5,True,False,False,True,False
20000.0,2,37.0,0,0,2,0,0,0,17450.0,3200.0,0.0,830.0,750.0,1000.0,282.0,116252.0,1012.4249437201095,6062.0,5.8126,0.05214533943502047,0.3333333333333333,1.0,True,False,False,False,False
